date,cases
2020-01-21,1
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,3
2020-01-26,5
2020-01-27,5
2020-01-28,5
2020-01-29,5
2020-01-30,6
2020-01-31,7
2020-02-01,8
2020-02-02,11
2020-02-03,11
2020-02-04,11
2020-02-05,12
2020-02-06,12
2020-02-07,12
2020-02-08,12
2020-02-09,12
2020-02-10,13
2020-02-11,13
2020-02-12,14
2020-02-13,15
2020-02-14,15
2020-02-15,15
2020-02-16,15
2020-02-17,25
2020-02-18,25
2020-02-19,25
2020-02-20,27
2020-02-21,30
2020-02-22,30
2020-02-23,30
2020-02-24,43
2020-02-25,45
2020-02-26,60
2020-02-27,60
2020-02-28,65
2020-02-29,70
2020-03-01,88
2020-03-02,104
2020-03-03,125
2020-03-04,161
2020-03-05,228
2020-03-06,311
2020-03-07,428
2020-03-08,547
2020-03-09,748
2020-03-10,1018
2020-03-11,1263
2020-03-12,1668
2020-03-13,2224
2020-03-14,2898
2020-03-15,3600
2020-03-16,4507
2020-03-17,5906
2020-03-18,8350
2020-03-19,12393
2020-03-20,18012
2020-03-21,24528
2020-03-22,33073
2020-03-23,43505
2020-03-24,53938
2020-03-25,68572
2020-03-26,85570
2020-03-27,102900
2020-03-28,123966
2020-03-29,142486
2020-03-30,163955
2020-03-31,188461
2020-04-01,215391
2020-04-02,245108
2020-04-03,277426
2020-04-04,312525
2020-04-05,338141
2020-04-06,369057
2020-04-07,399394
2020-04-08,431214
2020-04-09,465913
2020-04-10,499386
2020-04-11,531106
2020-04-12,558249
2020-04-13,584018
2020-04-14,610709
2020-04-15,640742
2020-04-16,672355
2020-04-17,703864
2020-04-18,732262
2020-04-19,757596
2020-04-20,784991
2020-04-21,810505
2020-04-22,839336
2020-04-23,873112
2020-04-24,909853
2020-04-25,944261
2020-04-26,970996
2020-04-27,994193
2020-04-28,1018844
2020-04-29,1045399
2020-04-30,1075756
2020-05-01,1109726
2020-05-02,1139200
2020-05-03,1165340
2020-05-04,1187302
2020-05-05,1211011
2020-05-06,1235517
2020-05-07,1263995
2020-05-08,1291643
2020-05-09,1316511
2020-05-10,1336828
2020-05-11,1354449
2020-05-12,1376749
2020-05-13,1397894
2020-05-14,1424856
2020-05-15,1451093
2020-05-16,1474752
2020-05-17,1493766
2020-05-18,1515593
2020-05-19,1536570
2020-05-20,1559640
2020-05-21,1585373
2020-05-22,1609172
2020-05-23,1631440
2020-05-24,1651471
2020-05-25,1670571
2020-05-26,1689467
2020-05-27,1708211
2020-05-28,1730723
2020-05-29,1755271
2020-05-30,1778668
2020-05-31,1799302
2020-06-01,1821199
2020-06-02,1841990
2020-06-03,1861977
2020-06-04,1883593
2020-06-05,1912302
2020-06-06,1934818
2020-06-07,1953434
2020-06-08,1971641
2020-06-09,1990446
2020-06-10,2013298
2020-06-11,2036500
2020-06-12,2061993
2020-06-13,2087327
2020-06-14,2106457
2020-06-15,2126574
2020-06-16,2151459
2020-06-17,2177114
2020-06-18,2205173
2020-06-19,2236009
2020-06-20,2268034
2020-06-21,2294413
2020-06-22,2324879
2020-06-23,2359939
2020-06-24,2396928
2020-06-25,2438101
2020-06-26,2483629
2020-06-27,2525928
2020-06-28,2565436
2020-06-29,2604932
2020-06-30,2653321
2020-07-01,2703296
2020-07-02,2758855
2020-07-03,2816009
2020-07-04,2866015
2020-07-05,2910782
2020-07-06,2958098
2020-07-07,3012182
2020-07-08,3071637
2020-07-09,3131526
2020-07-10,3199753
2020-07-11,3260474
2020-07-12,3318279
2020-07-13,3379846
2020-07-14,3445448
2020-07-15,3513790
2020-07-16,3589477
2020-07-17,3660400
2020-07-18,3722851
2020-07-19,3785126
2020-07-20,3845014
2020-07-21,3910291
2020-07-22,3980030
2020-07-23,4050036
2020-07-24,4123561
2020-07-25,4190337
2020-07-26,4244554
2020-07-27,4303735
2020-07-28,4366851
2020-07-29,4433633
2020-07-30,4502581
2020-07-31,4571669
2020-08-01,4628497
2020-08-02,4679291
2020-08-03,4726775
2020-08-04,4780324
2020-08-05,4834047
2020-08-06,4891561
2020-08-07,4952718
2020-08-08,5007958
2020-08-09,5056438
2020-08-10,5103611
2020-08-11,5156968
2020-08-12,5211246
2020-08-13,5265307
2020-08-14,5324784
2020-08-15,5375527
2020-08-16,5417664
2020-08-17,5455187
